Age,,Height (cm),Weight (kg),,Workout Duration (mins),,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%)
50,,182,50,,47,,160,16087,5.85,High,4.6,1.9,3758,55,38.4,28.5
29,,169,114,,11,,89,16798,7.64,Medium,5.7,1.9,2647,79,38.4,28.5
42,,191,102,,26,,159,7724,1.56,High,6.9,1.9,2009,59,38.4,28.5
53,,173,105,,89,,95,14386,12.62,Medium,8.4,1.9,2388,56,38.4,28.5
25,,157,84,,41,,158,5307,7.42,Low,8.2,1.9,3802,89,38.4,28.5
58,,193,101,,51,,153,11683,2.05,High,7.2,1.9,2253,67,38.4,28.5
22,,194,54,,62,,175,7642,9.15,High,8.1,1.9,3829,64,38.4,28.5
58,,160,51,,58,,141,4031,2.32,High,9.2,1.9,2274,87,38.4,28.5
36,,199,97,,118,,177,17277,3.77,High,5.2,1.9,2327,85,38.4,28.5
21,,171,58,,87,,98,10005,2.43,Medium,8,1.9,3582,70,38.4,28.5
35,,164,62,,31,,80,7694,11.63,Low,7.7,1.9,1520,73,38.4,28.5
56,,150,68,,69,,150,4176,6.5,High,9.9,1.9,3109,62,38.4,28.5
23,,161,115,,46,,175,15618,4.49,Medium,5.2,1.9,1997,82,38.4,28.5
48,,171,70,,90,,168,4166,3.4,Medium,9.7,1.9,2849,89,38.4,28.5
30,,190,113,,29,,88,4200,14.48,High,9.3,1.9,3306,62,38.4,28.5
19,,196,91,,38,,91,4518,6.79,Low,6.1,1.9,2754,54,38.4,28.5
39,,161,110,,77,,104,10910,13.7,Medium,4.8,1.9,3714,82,38.4,28.5
28,,198,90,,38,,113,6881,12.07,Medium,6.7,1.9,1901,79,38.4,28.5
20,,161,54,,107,,162,7394,10.49,Low,6.3,1.9,3653,62,38.4,28.5
36,,162,113,,104,,173,11253,7.73,Medium,4.3,1.9,2311,73,38.4,28.5
29,,199,87,,10,,127,14468,2.46,Low,5,1.9,2908,64,38.4,28.5
45,,174,105,,53,,105,5116,3.77,High,8.4,1.9,1866,87,38.4,28.5
20,,182,84,,44,,142,19811,5.37,High,9.1,1.9,1999,64,38.4,28.5
28,,191,92,,90,,141,15962,2.2,Medium,4.6,1.9,2774,50,38.4,28.5
54,,169,93,,27,,127,7321,1.74,Low,5.7,1.9,3002,67,38.4,28.5
20,,185,74,,96,,81,18326,4.03,High,6.7,1.9,1948,57,38.4,28.5
34,,174,95,,114,,103,7521,10.91,Low,7.7,1.9,3316,76,38.4,28.5
35,,175,76,,71,,113,10914,5.54,Medium,9.6,1.9,3813,64,38.4,28.5
19,,150,60,,24,,89,19873,13.39,Medium,9.2,1.9,2057,50,38.4,28.5
36,,184,116,,44,,160,3373,8.39,Medium,9.2,1.9,1521,71,38.4,28.5
28,,182,110,,72,,165,12932,8.18,Medium,5.1,1.9,2450,50,38.4,28.5
41,,182,101,,98,,86,6878,7.13,High,8.7,1.9,2065,83,38.4,28.5
35,,180,96,,95,,109,1656,9.66,Medium,8,1.9,2467,63,38.4,28.5
25,,194,74,,40,,153,18373,9.55,Medium,4.2,1.9,3342,88,38.4,28.5
37,,159,62,,119,,104,3458,13.98,High,9.9,1.9,3528,50,38.4,28.5
55,,154,112,,10,,144,19669,11.09,Medium,7.6,1.9,3938,68,38.4,28.5
52,,199,63,,65,,82,3495,8.66,High,8.2,1.9,2620,64,38.4,28.5
35,,165,100,,48,,178,6313,8.42,High,8.4,1.9,3528,63,38.4,28.5
49,,167,107,,108,,133,14554,12.06,Low,7.2,1.9,3449,88,38.4,28.5
58,,164,82,,22,,171,7468,8.8,High,4.7,1.9,2438,63,38.4,28.5
27,,196,117,,56,,133,13336,13.25,High,9.7,1.9,3015,84,38.4,28.5
59,,160,102,,18,,114,14642,12.4,Medium,7.6,1.9,3370,87,38.4,28.5
26,,152,65,,13,,177,17426,3.42,Medium,7.1,1.9,3039,84,38.4,28.5
28,,163,52,,54,,173,7538,10.73,High,7.3,1.9,1828,74,38.4,28.5
34,,169,76,,55,,84,17569,7.92,Low,5.4,1.9,2873,50,38.4,28.5
48,,178,96,,66,,167,11878,12.33,High,4.1,1.9,3659,72,38.4,28.5
36,,195,106,,76,,168,13261,14.18,Low,9.6,1.9,1659,51,38.4,28.5
39,,153,51,,57,,133,17692,4.61,High,5.5,1.9,2996,58,38.4,28.5
37,,170,118,,66,,170,14583,3.85,Medium,7.8,1.9,2738,65,38.4,28.5
54,,189,96,,45,,82,6245,10.11,Medium,5.2,1.9,2904,82,38.4,28.5
24,,198,79,,42,,125,4482,7.24,Low,4.9,1.9,2941,65,38.4,28.5
52,,164,58,,93,,174,15986,5.71,Low,8.7,1.9,3975,56,38.4,28.5
49,,176,68,,41,,162,17534,2.35,High,9.4,1.9,1607,62,38.4,28.5
40,,183,51,,55,,129,4738,2.17,High,6.9,1.9,3846,81,38.4,28.5
53,,157,57,,14,,94,9646,3.29,High,8.7,1.9,3672,61,38.4,28.5
21,,168,74,,107,,154,15491,7.48,Low,8.1,1.9,2018,52,38.4,28.5
27,,199,84,,59,,153,10042,3.51,Low,8.1,1.9,2697,50,38.4,28.5
54,,158,79,,23,,124,14881,10.1,High,6.5,1.9,3922,77,38.4,28.5
45,,161,52,,72,,143,3122,3.27,Low,8,1.9,1705,76,38.4,28.5
56,,160,92,,31,,133,12090,4.85,High,6.5,1.9,2199,63,38.4,28.5
59,,174,53,,58,,132,12602,4.68,High,9.8,1.9,2234,54,38.4,28.5
37,,173,81,,76,,173,18635,13.48,High,6.2,1.9,1616,85,38.4,28.5
50,,191,117,,48,,163,16595,9.98,Low,4.8,1.9,3275,77,38.4,28.5
36,,199,98,,39,,163,19824,14.12,High,6.2,1.9,2148,68,38.4,28.5
41,,156,117,,113,,160,6888,12.02,Medium,6.4,1.9,3617,59,38.4,28.5
42,,170,110,,16,,169,2704,14.6,High,8.4,1.9,3110,83,38.4,28.5
53,,167,100,,87,,147,7692,11.92,Medium,9.3,1.9,3841,73,38.4,28.5
33,,191,96,,109,,123,10048,11.34,Low,9.4,1.9,1879,57,38.4,28.5
45,,159,90,,113,,162,17912,2.2,Medium,6.9,1.9,3023,67,38.4,28.5
43,,154,89,,21,,87,10537,3.8,Medium,8.5,1.9,2779,75,38.4,28.5
41,,194,90,,16,,169,17685,9.73,High,4.9,1.9,1615,75,38.4,28.5
22,,154,111,,65,,151,19308,11.84,High,8.7,1.9,2226,87,38.4,28.5
32,,163,66,,18,,167,14556,11.05,Medium,4.6,1.9,1500,51,38.4,28.5
34,,153,81,,16,,91,19676,11.5,Low,5.5,1.9,2061,61,38.4,28.5
51,,158,63,,35,,137,19321,1.75,Low,9.9,1.9,3001,54,38.4,28.5
45,,178,55,,105,,119,19234,0.73,Low,6.7,1.9,3088,87,38.4,28.5
30,,163,54,,101,,88,2888,4.56,High,7.5,1.9,2301,70,38.4,28.5
59,,150,115,,115,,174,15203,11.49,Low,9.7,1.9,2605,84,38.4,28.5
47,,150,96,,95,,132,5819,9.45,High,9.8,1.9,3569,70,38.4,28.5
27,,174,57,,54,,162,7512,12.3,Medium,6.2,1.9,1539,78,38.4,28.5
46,,194,53,,102,,90,18661,7.46,Medium,8.8,1.9,3862,80,38.4,28.5
23,,198,118,,67,,80,11761,2.67,Low,6.2,1.9,1856,59,38.4,28.5
49,,175,51,,93,,144,14416,14.57,Low,4.8,1.9,2257,81,38.4,28.5
54,,174,74,,119,,83,14968,12.83,Low,4.3,1.9,2099,76,38.4,28.5
39,,155,84,,63,,103,6465,12.86,Low,7.8,1.9,3457,68,38.4,28.5
40,,172,62,,36,,178,17109,1.73,Low,7.5,1.9,1794,53,38.4,28.5
35,,181,65,,17,,157,19159,12.28,Medium,6,1.9,3428,81,38.4,28.5
54,,161,114,,31,,82,8867,0.97,Medium,8.1,1.9,3470,64,38.4,28.5
34,,183,81,,114,,179,15785,10.57,Low,5.6,1.9,2448,54,38.4,28.5
31,,167,58,,105,,145,15607,14.7,Medium,6.8,1.9,3364,58,38.4,28.5
48,,173,86,,36,,158,17798,8.13,High,9.7,1.9,2009,57,38.4,28.5
44,,160,110,,25,,139,11393,14.72,Low,9,1.9,1584,68,38.4,28.5
34,,151,112,,59,,118,4358,14.38,Medium,5.2,1.9,1591,54,38.4,28.5
26,,198,65,,63,,123,1944,9.67,Medium,8.4,1.9,3518,57,38.4,28.5
45,,184,112,,52,,103,3361,9.77,Low,5.6,1.9,2529,81,38.4,28.5
58,,151,92,,33,,94,14716,13.8,Low,9.8,1.9,2330,56,38.4,28.5
26,,181,66,,29,,148,18388,5.71,Medium,4.6,1.9,2701,59,38.4,28.5
46,,199,52,,75,,168,11733,2.91,Low,5.1,1.9,1722,74,38.4,28.5
43,,174,76,,77,,118,3383,14.74,Low,5.9,1.9,3841,74,38.4,28.5
54,,166,68,,72,,118,14851,2.17,Medium,8.6,1.9,2515,56,38.4,28.5
33,,165,64,,101,,157,18199,8.03,Low,6.2,1.9,1579,61,38.4,28.5
34,,174,70,,65,,159,18943,1.98,High,9.1,1.9,2739,73,38.4,28.5
48,,191,101,,61,,80,8376,14.7,High,7.7,1.9,2961,51,38.4,28.5
24,,194,114,,43,,116,17960,1.59,High,4.6,1.9,2052,66,38.4,28.5
23,,151,65,,99,,143,14585,10.09,Low,7.4,1.9,2091,71,38.4,28.5
26,,199,65,,39,,81,16452,11.41,Low,9,1.9,2835,87,38.4,28.5
19,,154,79,,56,,147,14605,1,Low,8.3,1.9,3679,59,38.4,28.5
28,,163,55,,58,,172,1955,12.83,Medium,4,1.9,1708,89,38.4,28.5
52,,186,101,,101,,172,7746,12.91,High,6.1,1.9,2046,55,38.4,28.5
39,,163,83,,106,,127,1342,8.02,Medium,5,1.9,3578,84,38.4,28.5
56,,163,92,,81,,131,3740,6.69,Medium,4.7,1.9,3784,65,38.4,28.5
50,,172,79,,116,,158,12669,0.65,Low,4.6,1.9,3063,56,38.4,28.5
44,,150,101,,73,,135,14710,2.8,Low,5.1,1.9,2088,88,38.4,28.5
30,,164,111,,103,,139,16437,13.94,Low,7.8,1.9,3885,60,38.4,28.5
58,,188,101,,91,,154,6658,10.28,Low,6,1.9,3027,51,38.4,28.5
18,,194,55,,45,,167,17644,9.18,Medium,7.1,1.9,3548,53,38.4,28.5
34,,167,63,,98,,80,7695,12.52,Medium,8.2,1.9,3787,57,38.4,28.5
52,,194,71,,119,,106,11310,5.43,High,8.3,1.9,1821,71,38.4,28.5
56,,170,61,,74,,115,16671,8.27,High,5.5,1.9,2754,61,38.4,28.5
43,,166,65,,90,,120,12640,5.46,Medium,4.6,1.9,3635,67,38.4,28.5
45,,184,66,,67,,160,10948,9.55,Medium,4.8,1.9,3973,53,38.4,28.5
18,,168,59,,50,,131,16689,14.34,High,9.8,1.9,3651,54,38.4,28.5
23,,169,52,,60,,87,15888,0.61,Low,6.7,1.9,1752,61,38.4,28.5
53,,188,58,,24,,86,1634,0.78,Low,5.4,1.9,1626,83,38.4,28.5
24,,151,112,,30,,88,9952,0.71,Low,5.9,1.9,1503,71,38.4,28.5
47,,153,78,,26,,116,15431,6.19,High,9.6,1.9,1602,68,38.4,28.5
58,,162,71,,19,,148,9318,8.34,Medium,4.9,1.9,1876,78,38.4,28.5
49,,158,107,,18,,127,8699,9.67,High,9.6,1.9,2760,52,38.4,28.5
57,,194,112,,61,,140,1248,10.97,Medium,9.4,1.9,3398,78,38.4,28.5
22,,191,114,,63,,89,10509,14.92,Medium,9.3,1.9,1732,84,38.4,28.5
54,,199,86,,88,,138,16930,14.81,Medium,8.5,1.9,2281,54,38.4,28.5
31,,155,64,,116,,95,9264,9.11,Medium,5.1,1.9,1581,69,38.4,28.5
50,,154,68,,68,,87,10172,9.39,High,7.3,1.9,2011,85,38.4,28.5
50,,175,110,,93,,114,11254,12.14,Medium,6.4,1.9,2044,64,38.4,28.5
40,,197,82,,35,,130,10852,3.01,High,9.5,1.9,3026,73,38.4,28.5
49,,166,72,,68,,96,7110,1.89,High,9.9,1.9,2098,54,38.4,28.5
37,,152,52,,60,,110,8201,9.42,High,9.3,1.9,3878,64,38.4,28.5
21,,163,93,,11,,96,3434,6.63,Low,5.9,1.9,2038,66,38.4,28.5
51,,187,96,,63,,112,18114,3.86,High,4.9,1.9,3333,54,38.4,28.5
22,,162,63,,13,,170,19376,3.72,Medium,6.3,1.9,1609,78,38.4,28.5
52,,180,92,,51,,171,3568,14.05,Medium,8.7,1.9,3618,52,38.4,28.5
46,,154,106,,118,,129,1919,14.02,Low,9.8,1.9,2408,82,38.4,28.5
42,,185,50,,104,,160,7554,10.04,High,4.1,1.9,3602,68,38.4,28.5
58,,153,97,,92,,164,10186,6.66,Medium,9.7,1.9,3361,87,38.4,28.5
33,,155,59,,50,,106,10359,0.55,Low,10,1.9,3562,88,38.4,28.5
36,,194,112,,85,,163,11207,12.69,Medium,6.7,1.9,1908,55,38.4,28.5
31,,165,54,,115,,133,16890,9.85,High,6.1,1.9,2363,70,38.4,28.5
40,,171,85,,54,,93,19580,2.21,Medium,5.7,1.9,2581,64,38.4,28.5
50,,195,81,,43,,136,4651,14.89,High,5.8,1.9,1677,53,38.4,28.5
34,,153,111,,30,,88,16127,11.02,High,5.9,1.9,3525,85,38.4,28.5
18,,163,91,,115,,167,7089,1.64,Medium,8.7,1.9,3864,74,38.4,28.5
32,,189,52,,56,,86,11115,7.85,Low,4.4,1.9,3333,87,38.4,28.5
41,,181,87,,106,,123,13201,0.55,Medium,7.8,1.9,1765,75,38.4,28.5
25,,196,112,,35,,157,5606,13.17,High,8,1.9,1551,65,38.4,28.5
39,,176,73,,31,,154,7971,7.61,Medium,5.7,1.9,1954,72,38.4,28.5
28,,173,65,,30,,164,15025,7.26,High,6.2,1.9,3117,85,38.4,28.5
49,,189,77,,72,,179,12110,8.23,Low,9.8,1.9,3739,62,38.4,28.5
20,,174,72,,37,,116,16883,11.65,High,4.6,1.9,2668,60,38.4,28.5
21,,182,82,,92,,131,5648,2.71,Low,8.7,1.9,2795,62,38.4,28.5
27,,187,69,,95,,101,15030,14.28,Medium,8.3,1.9,3802,71,38.4,28.5
32,,164,106,,32,,116,13312,14.57,Medium,6.6,1.9,1548,66,38.4,28.5
29,,179,79,,71,,150,15992,4.35,Medium,8,1.9,2548,60,38.4,28.5
26,,193,55,,25,,153,3012,11.45,High,5.3,1.9,3329,61,38.4,28.5
54,,164,94,,73,,97,9645,0.64,Medium,5.7,1.9,1916,67,38.4,28.5
27,,187,96,,45,,125,9100,0.91,Low,8.1,1.9,3068,71,38.4,28.5
52,,189,76,,88,,176,6179,4.9,High,7.7,1.9,3672,70,38.4,28.5
41,,191,108,,116,,166,8994,2.82,High,4.2,1.9,3288,58,38.4,28.5
35,,196,102,,31,,85,10731,13.27,Low,5.3,1.9,1696,72,38.4,28.5
58,,168,68,,110,,130,19623,5.34,High,6.6,1.9,1987,59,38.4,28.5
35,,193,110,,102,,163,10810,6.02,Medium,8.3,1.9,3773,80,38.4,28.5
50,,169,88,,113,,105,10957,10.01,Medium,8.9,1.9,3965,77,38.4,28.5
47,,183,111,,43,,94,8326,4.7,Low,4.1,1.9,3789,76,38.4,28.5
28,,152,82,,106,,104,12127,8.12,High,9.1,1.9,3343,60,38.4,28.5
33,,169,53,,86,,145,16898,0.55,Medium,4.2,1.9,1561,63,38.4,28.5
43,,180,114,,49,,101,13674,2.73,High,4.8,1.9,3584,81,38.4,28.5
42,,162,58,,108,,115,10971,7.07,Low,4.9,1.9,3046,84,38.4,28.5
33,,162,91,,111,,163,5249,8.47,High,7.6,1.9,3534,66,38.4,28.5
26,,192,108,,33,,126,14824,0.62,Low,6.3,1.9,3503,56,38.4,28.5
37,,171,60,,45,,103,11709,1.06,Low,4.8,1.9,2438,55,38.4,28.5
52,,177,62,,79,,83,5680,2.57,High,8.6,1.9,2140,64,38.4,28.5
47,,197,109,,56,,98,1798,11.34,Medium,5.7,1.9,1767,87,38.4,28.5
52,,158,67,,85,,154,2457,9.24,Medium,6.3,1.9,3717,87,38.4,28.5
20,,173,73,,24,,80,2162,8.12,Medium,6.8,1.9,3351,65,38.4,28.5
21,,184,90,,72,,96,18605,7.19,High,8.2,1.9,2971,67,38.4,28.5
34,,160,52,,78,,159,19484,5.94,High,7.7,1.9,2546,50,38.4,28.5
23,,195,53,,117,,141,12226,14.4,Low,5.6,1.9,3615,81,38.4,28.5
43,,168,116,,47,,154,4638,9.29,High,5.8,1.9,2540,76,38.4,28.5
21,,164,111,,60,,86,15525,13.88,High,5.5,1.9,2385,68,38.4,28.5
57,,181,110,,15,,86,13084,6.95,Low,6.6,1.9,2652,88,38.4,28.5
53,,199,102,,76,,169,6842,10.4,Medium,6,1.9,3769,57,38.4,28.5
20,,179,105,,85,,99,5289,3.02,Medium,9.1,1.9,3246,75,38.4,28.5
49,,160,111,,78,,145,5588,5.92,Low,5.5,1.9,3434,82,38.4,28.5
25,,181,103,,16,,141,8422,4.71,High,7.4,1.9,2334,50,38.4,28.5
47,,163,62,,109,,174,14418,0.91,High,5.9,1.9,2454,84,38.4,28.5
18,,192,57,,73,,137,2446,10.66,Medium,5.6,1.9,3113,63,38.4,28.5
27,,172,78,,44,,91,15684,9.88,Low,8.6,1.9,2540,77,38.4,28.5
20,,153,70,,45,,89,8533,2.55,Medium,5,1.9,1717,62,38.4,28.5
29,,155,110,,17,,120,17183,11.07,High,8.3,1.9,3802,58,38.4,28.5
31,,168,65,,104,,147,19733,9.6,Medium,4.4,1.9,3972,68,38.4,28.5
52,,154,74,,41,,177,14264,3.55,Low,5.4,1.9,1534,88,38.4,28.5
22,,156,87,,108,,117,9659,5.66,High,9.1,1.9,3898,74,38.4,28.5
34,,192,93,,47,,161,1478,14.46,High,5,1.9,3790,84,38.4,28.5
29,,180,109,,23,,88,1493,2.86,Low,6.1,1.9,2437,50,38.4,28.5
43,,161,103,,66,,128,9709,4.84,Medium,6,1.9,3806,55,38.4,28.5
19,,181,118,,46,,80,8167,3.59,Low,9.5,1.9,1799,87,38.4,28.5
25,,179,86,,46,,111,11292,7.84,Low,9.6,1.9,2849,78,38.4,28.5
47,,196,94,,97,,147,3783,0.53,High,7.1,1.9,3270,54,38.4,28.5
27,,164,106,,38,,106,1525,8.15,Low,6.5,1.9,3813,85,38.4,28.5
29,,153,119,,76,,152,11804,9.52,Low,5,1.9,3146,86,38.4,28.5
50,,164,92,,105,,170,18184,8.18,High,8.7,1.9,1693,82,38.4,28.5
27,,187,50,,48,,101,3668,2.48,High,5.1,1.9,3443,78,38.4,28.5
40,,162,95,,51,,95,7378,9.97,High,8.8,1.9,2610,52,38.4,28.5
42,,171,67,,112,,82,3180,13.26,High,6.7,1.9,2621,65,38.4,28.5
49,,188,113,,112,,138,13583,0.92,Medium,5.9,1.9,3699,79,38.4,28.5
49,,195,60,,107,,151,10109,11.4,Low,7.7,1.9,2027,85,38.4,28.5
30,,186,117,,99,,136,11851,3.39,Low,8.1,1.9,2320,50,38.4,28.5
56,,181,119,,95,,168,11551,2.08,Medium,9.4,1.9,3203,62,38.4,28.5
58,,152,95,,42,,170,12337,9.94,Medium,8,1.9,3309,73,38.4,28.5
50,,164,60,,64,,126,18268,11,High,7.8,1.9,3118,76,38.4,28.5
28,,150,95,,52,,150,14514,2.86,Medium,9,1.9,2968,58,38.4,28.5
23,,193,84,,107,,159,8922,13.4,Low,7.4,1.9,2959,62,38.4,28.5
31,,185,103,,99,,167,14005,11.23,Medium,7.4,1.9,2695,80,38.4,28.5
46,,181,70,,72,,126,9348,6.61,High,5.7,1.9,1577,66,38.4,28.5
56,,199,82,,73,,111,14703,5.01,Low,9.8,1.9,2944,51,38.4,28.5
18,,194,114,,94,,139,4850,2.31,Low,5.5,1.9,1567,51,38.4,28.5
44,,161,50,,19,,175,18894,12.35,High,6.2,1.9,3720,55,38.4,28.5
27,,190,110,,43,,103,10524,14.75,Medium,6.4,1.9,3251,51,38.4,28.5
39,,199,90,,77,,174,2361,2.77,High,6.6,1.9,2238,75,38.4,28.5
45,,172,88,,49,,120,9631,1.89,Medium,4.7,1.9,3625,78,38.4,28.5
30,,189,100,,26,,149,12809,4.67,Low,5.5,1.9,3020,68,38.4,28.5
26,,154,51,,54,,121,6116,11.89,Low,8.5,1.9,3390,89,38.4,28.5
43,,190,111,,33,,168,6476,10.25,Low,9.4,1.9,3411,71,38.4,28.5
19,,158,100,,75,,173,3473,12.88,Medium,7.2,1.9,2202,74,38.4,28.5
31,,159,76,,87,,116,11439,4.08,Low,7.3,1.9,3298,57,38.4,28.5
30,,182,52,,64,,80,19552,11.82,Medium,9.8,1.9,3309,61,38.4,28.5
52,,181,89,,15,,173,11118,13.27,Low,8.2,1.9,3510,76,38.4,28.5
47,,194,73,,85,,167,1135,4.1,Medium,7.6,1.9,3589,77,38.4,28.5
25,,164,79,,61,,125,10254,1.5,High,6,1.9,3735,83,38.4,28.5
53,,156,96,,55,,133,4209,13.98,High,5.1,1.9,2685,79,38.4,28.5
26,,174,68,,60,,142,14675,13.91,Medium,6.1,1.9,3020,68,38.4,28.5
22,,197,109,,89,,145,4058,6.84,High,4.4,1.9,2355,83,38.4,28.5
41,,160,59,,21,,133,18304,12.02,High,6.6,1.9,2887,85,38.4,28.5
30,,194,73,,75,,136,5922,12.87,Low,9.4,1.9,2758,72,38.4,28.5
44,,193,61,,22,,162,18969,4.13,High,4.4,1.9,3387,73,38.4,28.5
53,,175,92,,88,,82,1639,11,Low,6.1,1.9,2736,69,38.4,28.5
56,,151,112,,78,,152,14503,13.98,Low,8.7,1.9,2321,74,38.4,28.5
30,,184,100,,97,,124,17549,12.08,High,4.7,1.9,3311,60,38.4,28.5
34,,166,64,,20,,150,10803,11.38,Medium,4.1,1.9,1619,54,38.4,28.5
22,,187,69,,34,,171,2753,11.86,Medium,8.2,1.9,2727,71,38.4,28.5
52,,185,114,,110,,105,16021,7.47,Medium,9.2,1.9,3738,66,38.4,28.5
43,,190,50,,23,,128,15539,3.73,Medium,4.3,1.9,3602,51,38.4,28.5
18,,193,81,,23,,175,8190,14,Low,6.4,1.9,2720,79,38.4,28.5
48,,154,103,,70,,149,1993,9.56,Low,6.7,1.9,3729,54,38.4,28.5
45,,190,56,,104,,101,18213,13.42,Low,8.4,1.9,2400,76,38.4,28.5
42,,160,114,,38,,150,9653,14.59,High,9.6,1.9,3177,60,38.4,28.5
28,,154,51,,30,,93,11192,12.42,Low,8.9,1.9,2634,76,38.4,28.5
38,,190,98,,104,,98,19450,1.87,High,6.3,1.9,2405,69,38.4,28.5
35,,192,117,,15,,114,17309,4.73,High,6.9,1.9,3970,57,38.4,28.5
39,,192,79,,37,,148,15588,4.48,High,7.9,1.9,2877,57,38.4,28.5
23,,169,112,,11,,159,9203,6.71,High,8.7,1.9,2931,71,38.4,28.5
55,,160,113,,59,,162,18193,5.45,High,9.3,1.9,2916,78,38.4,28.5
31,,155,64,,60,,103,19650,3.16,High,6.7,1.9,1811,77,38.4,28.5
42,,176,104,,70,,148,9173,9.02,Low,8.5,1.9,3331,65,38.4,28.5
35,,180,95,,70,,116,2422,1.06,Low,9.3,1.9,2698,78,38.4,28.5
50,,183,115,,98,,177,13150,4.98,Medium,6,1.9,1908,69,38.4,28.5
38,,169,109,,22,,130,17702,10,Medium,5.9,1.9,3894,80,38.4,28.5
25,,175,79,,15,,88,12014,10.23,Low,5.8,1.9,1508,85,38.4,28.5
41,,156,77,,93,,151,16928,8,High,6.3,1.9,3436,52,38.4,28.5
46,,178,96,,18,,155,11251,6.65,Medium,6.2,1.9,2110,82,38.4,28.5
24,,184,99,,41,,138,6316,7.1,High,7,1.9,3218,86,38.4,28.5
55,,163,67,,107,,172,18717,2.59,Medium,6.8,1.9,1864,84,38.4,28.5
30,,179,107,,34,,159,8478,13.44,High,5,1.9,2039,80,38.4,28.5
47,,151,98,,99,,128,3856,5.26,High,4.8,1.9,1507,89,38.4,28.5
46,,164,97,,96,,118,6148,13.16,Low,7.3,1.9,1679,55,38.4,28.5
31,,190,78,,91,,96,9603,12.5,Low,7.9,1.9,3749,54,38.4,28.5
35,,166,99,,18,,119,14698,8.09,Medium,8.3,1.9,1979,53,38.4,28.5
31,,153,62,,31,,108,8893,2.4,High,5.2,1.9,1933,72,38.4,28.5
51,,197,63,,56,,162,18762,8.97,High,7.6,1.9,1872,85,38.4,28.5
45,,170,110,,65,,144,5586,11.97,Medium,9.7,1.9,2227,57,38.4,28.5
49,,172,67,,101,,170,14914,3.37,Medium,7.2,1.9,3051,65,38.4,28.5
49,,191,72,,107,,179,14635,7.63,Low,7.3,1.9,3115,67,38.4,28.5
38,,179,83,,53,,118,2165,2.97,High,7.6,1.9,3009,62,38.4,28.5
39,,164,98,,56,,136,7640,10.19,Medium,5.5,1.9,1804,88,38.4,28.5
29,,172,97,,56,,131,8902,1.18,High,8.6,1.9,2211,88,38.4,28.5
31,,163,76,,105,,95,7524,3.47,Medium,8,1.9,1551,56,38.4,28.5
28,,188,109,,44,,80,15185,6.33,Low,5.8,1.9,3936,88,38.4,28.5
37,,186,83,,41,,116,15986,9.87,Low,4.9,1.9,1805,67,38.4,28.5
31,,177,102,,108,,116,6913,7.38,High,9.3,1.9,2646,59,38.4,28.5
20,,162,85,,12,,169,1577,7.99,High,7.7,1.9,3873,83,38.4,28.5
33,,153,94,,71,,167,12053,0.86,Low,4.4,1.9,1527,80,38.4,28.5
37,,172,80,,85,,158,9253,8.12,Low,7.6,1.9,2182,50,38.4,28.5
25,,157,81,,103,,150,6655,11.81,High,10,1.9,2952,68,38.4,28.5
55,,165,59,,84,,168,11503,0.58,Medium,7.4,1.9,2413,67,38.4,28.5
27,,170,97,,83,,139,9685,3.86,Low,8.3,1.9,2866,67,38.4,28.5
47,,182,98,,27,,147,15750,13.45,Medium,9.8,1.9,3655,61,38.4,28.5
50,,188,62,,111,,139,15976,7.11,High,4.8,1.9,2157,85,38.4,28.5
26,,195,56,,17,,167,16789,7.34,Low,5.1,1.9,3657,58,38.4,28.5
44,,150,59,,10,,106,9778,1,Low,8.4,1.9,2221,55,38.4,28.5
46,,151,96,,93,,150,8472,10.18,Low,7.1,1.9,3815,53,38.4,28.5
32,,167,72,,114,,119,12353,4.7,Medium,5.9,1.9,1537,65,38.4,28.5
34,,172,79,,47,,84,9404,0.62,High,6.8,1.9,3244,89,38.4,28.5
26,,156,101,,16,,123,2102,13.23,Low,5.4,1.9,1677,77,38.4,28.5
18,,160,94,,14,,91,3547,7.65,Medium,7.3,1.9,3244,79,38.4,28.5
34,,179,81,,113,,159,12082,7.9,Low,4.7,1.9,2134,87,38.4,28.5
43,,177,66,,71,,104,8508,8.28,High,5.9,1.9,1669,89,38.4,28.5
40,,181,80,,38,,123,9660,13.64,Low,8.5,1.9,3665,65,38.4,28.5
54,,151,55,,28,,86,14733,7.85,High,8.3,1.9,3772,77,38.4,28.5
22,,167,112,,10,,155,13942,10.01,Medium,5.7,1.9,2185,58,38.4,28.5
55,,158,59,,84,,138,1017,14.77,Low,5.7,1.9,2148,54,38.4,28.5
36,,183,116,,109,,169,1854,2.22,Medium,10,1.9,2958,67,38.4,28.5
49,,167,74,,99,,145,6920,2.68,Medium,9.5,1.9,1823,61,38.4,28.5
24,,152,50,,96,,87,4046,13.22,Low,4.1,1.9,1933,80,38.4,28.5
48,,168,96,,74,,93,12773,6.25,High,8.7,1.9,3913,55,38.4,28.5
45,,195,54,,97,,151,1821,1.41,High,7.6,1.9,2255,68,38.4,28.5
56,,164,94,,26,,97,10229,5.26,Medium,8.9,1.9,3743,82,38.4,28.5
22,,193,56,,95,,171,17562,12.47,High,6.2,1.9,2514,87,38.4,28.5
50,,168,54,,110,,128,10102,1.96,Medium,6.1,1.9,1523,68,38.4,28.5
